"Année","","Titre","Auteur(s)","Parution"
"","BD","L'Ère de la République : Qui-Gon Jinn 1  
 
Le placement exact est actuellement inconnu.","Jody Houser","2018-12-
05"
"Vers 32 av.BY","BD  Star Wars 26: La Guerre Secrète de Yoda 1","","Jason Aaron","2016-12-
28"
"Vers 32 av.BY","BD  Star Wars 27: La Guerre Secrète de Yoda 2","","Jason Aaron","2017-01-
25"
"Vers 32 av.BY","BD  Star Wars 28: La Guerre Secrète de Yoda 3","","Jason Aaron","2017-02-
01"
"Vers 32 av.BY","BD  Star Wars 29: La Guerre Secrète de Yoda 4","","Jason Aaron","2017-03-
01"
"Vers 32 av.BY","BD  Star Wars 30: La Guerre Secrète de Yoda 5","","Jason Aaron","2017-04-
05"
"Vers 32 av.BY","BD  Dark Maul 1","","Cullen Bunn","2017-02-
01"
"Vers 32 av.BY","BD  Dark Maul 2","","Cullen Bunn","2017-03-
22"
"Vers 32 av.BY","BD  Dark Maul 3","","Cullen Bunn","2017-04-
26"
"Vers 32 av.BY","BD  Dark Maul 4","","Cullen Bunn","2017-06-
21"
"Vers 32 av.BY","BD  Dark Maul 5","","Cullen Bunn","2017-07-
19"
"","BD","L'Ère de la République : Dark Maul 1  
 
Le placement exact est actuellement inconnu.","Jody Houser","2018-12-
12"
"","BD","""The Weapon""  
 
Le placement exact est actuellement inconnu.","Ethan Sacks","2019-01-
16"
"32 av.BY[3]","BD","Star Wars épisode I : La Menace Fantôme  
 
Novélisation graphique de Star Wars épisode I : La 
Menace Fantôme.","Alessandro Ferrari","2016-08-
17"
"32 av.BY[3]","BD","""Probe Droid Problem""  
 
Se déroule pendant Star Wars épisode I : La Menace 
Fantôme.","Chris Eliopoulos 
Jordie Bellaire","2017-02-
01"
"","BD  ""Raiders of the Lost Gundark""","","Delilah S. Dawson","2019-02-
20"
